"id","uuid","org_uuid","machine","observed_at","forwarded_at","user","application","field","coord_x","coord_y","action","value","clipboard","monetary_amount","keystrokes","created_at","updated_at","screenshot_uuid","dom_uuid","source","cycle_id"
1,"c242af9b-0b87-44ba-9fbe-ae54ce77b2f1","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:13:36.794","2017-12-05 23:13:36","Administrator","Google Chrome","Administrator: Windows PowerShell",,,"MOUSE_CLICK","LEFT_MOUSE",,,"ddd","2017-12-05 23:14:43.018932","2017-12-05 23:14:43.018932","c80f77f3-81f8-419e-b888-d3c499b93648","c00cfc45-3221-4376-8998-55701116512b","win",
2,"03b0bc05-72a5-49fe-8a84-e5e4ee44fc06","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:13:39.102","2017-12-05 23:13:39","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:14:43.538594","2017-12-05 23:14:43.538594","91691a61-7ce4-431e-a867-8df8f9d78e3c","dba4fcc5-9cef-41f3-b774-24a26cb07c41","win",
3,"a267e7ae-fc1a-41c4-8bd6-cba2da713b31","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:13:42.093","2017-12-05 23:13:42","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:14:44.019374","2017-12-05 23:14:44.019374","76eb0502-f108-4499-b191-d7afb5a7df02","652adb8e-1673-42d5-9272-73590d12bea7","win",
4,"8fef27b3-aa59-44fb-a3bc-c266b44d678a","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:13:44.2339","2017-12-05 23:13:44","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:14:44.424536","2017-12-05 23:14:44.424536","b208a4ce-c99e-4eb2-940d-fbc7c3dd78c8","a917add9-2a43-492b-9f4d-955d070b1a2a","win",
5,"7d4ff378-2346-49b8-ba5d-4d92ef0d77fe","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:08.5975","2017-12-05 23:14:08","Administrator","Google Chrome","Address and search bar",,,"MOUSE_CLICK","LEFT_MOUSE",,,"hello","2017-12-05 23:14:45.024221","2017-12-05 23:14:45.024221","b190c007-fb7d-4ef0-ac6a-2e9c4bfa00cf","943c4876-33e0-4267-b7b7-d38905b03544","win",
6,"c1092aa9-a844-45b4-bf95-c53e4c6f8fd0","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:42.465","2017-12-05 23:14:42","Administrator","Google Chrome","Address and search bar",,,"MOUSE_CLICK","RIGHT_MOUSE",,,"dsdsdsds","2017-12-05 23:15:16.601775","2017-12-05 23:15:16.601775","7557ba7e-5ec9-4fc7-9cc3-f97552bd89c6","d2002390-1d0b-48fd-98ad-0995167ab373","win",
7,"3bd1aa10-b5eb-475f-b9fb-060c62f99765","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:44.502","2017-12-05 23:14:44","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:17.16625","2017-12-05 23:15:17.16625","7820c7df-c9ef-45a6-966e-b64b0308c837","dab794b8-34e6-4597-91ca-3bcc3853aa6a","win",
8,"8f1e2544-0936-45a1-ab61-ffe2a70e31f9","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:46.1329","2017-12-05 23:14:46","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:17.540067","2017-12-05 23:15:17.540067","4ea59987-2c4b-4c5d-aa0d-c12557bd3393","3fd77ef5-679f-4453-86c2-72e6fc41cbf4","win",
9,"6463f904-8a57-4a12-9e21-da6086e9ae77","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:49.2049","2017-12-05 23:14:49","Administrator","Google Chrome","Address and search bar",,,"KEY_PRESS","ENTER",,,"chrome://e","2017-12-05 23:15:17.942354","2017-12-05 23:15:17.942354","2b8d451c-b9d0-4091-b02e-c97ed1c8c4ba","51224cb0-cefd-4db2-a07b-698e18b217d0","win",
10,"1ed11379-9e7f-4b85-8c49-bc42cd274423","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:51.1279","2017-12-05 23:14:51","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:18.472258","2017-12-05 23:15:18.472258","f336f0a0-3e29-4810-bc5e-198b099e7c47","28500f66-0413-4e15-8341-17d365a30edd","win",
11,"0d1baa74-a717-4ada-8713-353d34c5444c","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:56.7528","2017-12-05 23:14:56","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:18.827327","2017-12-05 23:15:18.827327","9dd6aa33-1412-4cd3-887a-41c817177e48","4430548f-106d-4784-b7a7-0f42feb8ba40","win",
12,"a7ae0f16-57fc-4829-a08d-7dacff747032","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:57.9457","2017-12-05 23:14:57","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:19.384084","2017-12-05 23:15:19.384084","19af3770-dd85-485f-a9db-228e7598d680","d1b50e23-fb3f-4216-b2aa-53fe9080e3dd","win",
13,"f6c4ec27-a0e2-47d7-88d4-99e126bcd2a7","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:14:58.1697","2017-12-05 23:14:58","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:19.910205","2017-12-05 23:15:19.910205","d69ea925-18cf-4624-a28b-7fc81df514b7","d03573cd-05bd-4fa8-99ec-2b6b6c88fef7","win",
14,"98d931ea-ede9-4561-8d32-a111ba2e7215","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:15:05.7286","2017-12-05 23:15:05","Administrator","Google Chrome","Address and search bar",,,"KEY_PRESS","ENTER",,,"ddexample.com","2017-12-05 23:15:20.302198","2017-12-05 23:15:20.302198","5ef47998-cb17-4363-93f1-fb93e4a8ffdd","05af5ec0-8751-40a5-9381-5e4b21b2bff7","win",
15,"06f53621-f4d7-450d-9ea3-cfe17e9c8951","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:15:08.1535","2017-12-05 23:15:08","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:20.998271","2017-12-05 23:15:20.998271","a5804908-69b8-4705-b48f-b2f406ada1c9","15ef31c5-ac48-4096-bd27-38986e41bb86","win",
16,"91028cd6-f111-438e-acba-6b17465670b9","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:15:08.8015","2017-12-05 23:15:08","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"","2017-12-05 23:15:21.411772","2017-12-05 23:15:21.411772","d94564ba-2081-4247-9e2e-3bf3c2746ea6","37563cea-641b-4c70-8122-15ca9f6b8cdb","win",
17,"4d7c5dbe-33c5-47a1-a482-95bb2e79486e","805d36ab-b02f-4f91-862c-702bf66260f7","WIN-L5VDCD2203O","2017-12-05 23:15:22.6853","2017-12-05 23:15:22","Administrator","Google Chrome",,,,"MOUSE_CLICK","LEFT_MOUSE",,,"dd","2017-12-05 23:16:02.325498","2017-12-05 23:16:02.325498","7250c1f7-7108-4c81-88f3-68b8def0acdf","ba37a394-3537-403e-821a-1d3f77f9230f","win",
